review,rating,date
Jamie Black is the best insurance agent… Jamie Black is the best insurance agent that I have talked to researching for a new company.  She has explained everything complete and made sure I have understood everything.  After looking at several companies and speaking with different agents it has been a pleasure talking to an agent with good knowledge.,5,"May 01, 2023"
Auto accident We are in our second year with  Branch with  out any claims until now. Prior to this claim  every contact regarding any coverage change questions etc  have been exceptional profesional and very kind. This is way above average.                                        The claim was a total loss of vehicle and our claim was approved by the end of the second day and we received full payment within a few days.                                     According to acquaintances of ours this is unheard of in the insurance industry with other companies. My wife and I definitely give Branch a triple A and appreciate this company and their noticeable interest  in solving this claim.                                 We are excited to tell and have been telling our friends and acquaintances about Branch,4,"April 10, 2023"
Having an agent like James Duncan made the process simple. James was exceptionally professional and precise in every action that was required for both us and Branch. He kept us up to date every chance he got and was prompt on all responses to our questions concerns and needs. Thank you James for being there for us!,5,"March 27, 2023"
Great experience! All of our questions were answered.  Justin was very knowledgeable about both the homeowners and car insurance. We were not rushed and felt comfortable talking to him.  I would recommend him to anyone looking for insurance.,5,"April 27, 2023"
Jamie Black was extremely helpful in… Jamie Black was extremely helpful in that she explained every thing in detail and answered all my questions.,5,"April 30, 2023"
Thank you so much to Karly Gray I just want to say thank you so much to Karly Gray for helping me with all my questions and offering me more options on a professional way to have easy access to my accounts.,5,"April 30, 2023"
Awesome customer service!! She really cared if I was ok after my accident. Took all the stress off my situation and helped me relax during trying situation. Thank you,5,"April 26, 2023"
kelly hickman Kelly was so helpful and spent a lot of time explaining in detail of how everything worked. She was just a great person recommend her to anyone.,5,"April 20, 2023"
Alexandra was very very pleasant and… Alexandra was very very pleasant and she gave me a decent price for my auto and ish insurance definitely less than what I was payand she explained everything in. Detail told me so it was a nice it was a nice experience thank you  Alexandra,5,"April 25, 2023"
Team Work The agent handling my new policy was knowledgeable about my needs and cooperated fully with my mortgage company. I think I will be very pleased with this insurance company.,5,"April 24, 2023"
Justin was very friendly and helpful. Enjoyed visiting with him.,5,"May 01, 2023"
Jamie (Superstar!!!) provides the best of the best top… Jamie provides the best of the best top notch customer service! She helped me find discounts and ensured a seemless transition for both my home and auto insurance requirements.Thank you so much Jamie!!,5,"April 20, 2023"
This was the easiest insurnace claim I… This was the easiest insurnace claim I have  ever dealt with from start to finish.  Filing a claim through the app was really easy and fast.  With in a day or two I got a call from the adjuster Christopher.  I explained the situation to him.  He stated to get a quote and we will go from there.  Once I produced the quote I received the funds!  Shockingly the best and easiest claim process,5,"April 24, 2023"
Jordan was so helpful and honest.  I will recommend Branch Insurance and Jordan to my family and friends.,5,"April 25, 2023"
Please do not promote Kelly From the outset I got the impression that I was talking to someone who completely knew about insurance and what I was trying to do (insure the home I am buying while keeping the insurance on the homeI will be selling).  Kelly found views of the home on various resources and could accurately build the right policy while saving me money.   She was cheerful likable and interesting and made the whole process of buying insurance a pleasant experience.,5,"April 10, 2023"
